Sample,X,Y,Z
613,1.1062,-0.0625,0.0569
614,1.0920,0.0981,0.0698
615,0.8411,-0.0781,-0.0986
616,1.1226,-0.0269,0.0068
617,1.0181,0.1042,0.0286
618,0.8572,-0.0781,-0.0601
619,1.0886,0.0266,0.0923
620,0.9500,-0.0312,-0.0408
621,0.9148,-0.1265,-0.0232
622,1.1401,0.1003,-0.0613
623,1.0151,-0.0193,-0.0354
624,1.0054,-0.0054,0.0100
625,1.0740,-0.0210,-0.0127
626,1.0408,-0.0635,0.0945
627,0.9678,0.1721,-0.0923
628,0.9617,-0.1946,-0.0098
629,1.0906,0.0613,0.0542
630,0.9399,0.0417,-0.0645
631,1.0151,-0.0261,0.0286
632,1.0920,0.0376,0.0310
633,0.8240,-0.1216,-0.0359
634,1.1501,-0.0063,-0.0645
635,1.1140,0.1169,0.0100
636,0.8997,-0.1133,-0.0503
637,1.0496,0.0969,-0.0679
638,1.0728,-0.1155,0.1152
639,1.0154,0.0286,-0.0278
640,1.0757,-0.0032,0.0449
641,1.0308,-0.0164,0.0596
642,1.0066,-0.0720,0.0391
643,1.0330,0.0774,-0.0493
644,1.0239,-0.0115,0.0100
645,1.0317,0.0479,-0.0598
646,0.9910,-0.0559,0.1304
647,1.0349,0.0493,-0.1135
648,1.0039,-0.0830,0.0527
649,1.0964,0.0762,0.0525
650,0.9448,-0.1079,-0.0850
651,1.1287,0.0571,-0.0295
652,1.0110,-0.0359,0.1121
653,0.9861,0.0010,-0.0889
654,1.0593,-0.0146,-0.0466
655,1.0525,-0.0852,0.0496
656,1.0417,0.0784,-0.0149
657,0.9839,0.0251,0.0730
658,0.9526,-0.0386,-0.0493
659,0.9370,-0.0073,-0.0061
660,0.9741,-0.0437,-0.0605
661,1.0620,0.0212,0.0310
662,1.0066,0.0781,0.0415
663,0.9888,-0.1321,0.0073
664,1.0757,-0.0042,0.0620
665,1.0369,-0.0415,-0.0186
666,1.0317,0.0066,-0.0583
667,1.0730,0.1216,-0.0249
668,0.9617,-0.0684,-0.0002
669,1.0105,0.0002,0.0420
670,1.0291,0.0359,0.0708
671,0.9731,-0.1450,0.0828
672,1.0112,0.0906,-0.0535
673,1.0339,-0.0781,0.0801
674,1.0339,0.1069,-0.0854
675,0.9666,-0.0413,-0.0322
676,1.0229,-0.0527,0.0923
677,1.0669,-0.0088,-0.0356
678,1.0093,-0.0122,0.0002
679,1.0151,0.0720,-0.0386
680,1.0017,-0.0764,0.0737
681,1.0046,-0.0305,-0.0127
682,0.9919,0.0225,0.0164
683,1.1072,-0.0459,0.0469
684,1.0640,0.0071,0.0930
685,0.9167,0.0884,-0.0471
686,1.0378,-0.1382,0.0869
687,1.0906,0.0708,-0.0737
688,0.8970,-0.0796,-0.1467
689,1.1179,0.0110,0.0947
690,1.0542,0.1089,-0.1592
691,0.9009,-0.1072,-0.1526
692,1.1736,0.0149,0.2058
693,1.0015,0.0222,0.0024
694,0.9382,-0.1055,-0.0686
695,1.1382,0.0291,0.0608
696,0.9839,-0.0273,0.0618
697,0.9421,0.0381,-0.0820
698,0.9819,0.0378,0.0571
699,0.9888,-0.1069,-0.0237
700,0.9614,0.0625,-0.1121
701,1.0894,0.0022,0.0518
702,0.9824,-0.0459,0.0396
703,0.9207,0.0564,-0.1550
704,1.0864,-0.1721,0.0642
705,1.1257,0.1572,-0.0537
706,0.9282,-0.0051,-0.0386
707,1.0669,-0.0925,0.0681
708,1.0034,0.0212,-0.0979
709,0.9438,-0.0308,-0.0198
710,1.1697,-0.0134,0.1150
711,0.8511,0.1121,-0.0959
712,0.8972,-0.2327,0.0703
713,1.1392,0.1055,-0.0081
714,0.8599,0.0591,-0.1836
715,1.0222,-0.1006,0.1208
716,1.1675,0.0984,-0.0654
717,0.8201,-0.0005,0.0037
718,1.1577,-0.1250,0.1018
719,1.1304,0.1130,0.0063
720,0.9626,-0.0918,-0.0469
721,1.0994,0.0320,0.1311
722,1.0671,0.1187,0.0393
723,0.8013,-0.1689,-0.0637
724,1.1658,-0.0305,0.0933
725,1.0867,0.1880,-0.0298
726,0.8833,-0.1587,0.0801
727,1.0759,0.1333,0.0444
728,0.9214,-0.1248,-0.0476
729,1.1111,-0.1187,0.0771
730,1.1636,0.2703,-0.0505
731,0.9971,-0.2192,0.1118
732,1.0535,0.0903,-0.0171
733,0.9685,-0.0537,-0.0317
734,1.0876,-0.0930,-0.0151
735,1.1482,0.1868,0.0100
736,0.8591,-0.0813,0.0269
737,1.0591,-0.0642,0.0513
738,1.0034,0.0679,0.0703
739,0.9302,-0.1108,0.0210
740,1.1443,0.0847,0.0303
741,0.9607,0.0288,-0.0015
742,0.9167,-0.0747,-0.0144
743,1.1323,0.0537,0.0339
744,0.9878,0.0017,-0.0515
745,0.9998,-0.0259,0.0400
746,1.0630,0.0276,-0.0452
747,1.0034,-0.0874,0.1387
748,1.0295,0.0420,-0.0583
749,1.0632,-0.0554,0.0471
750,1.0603,0.0903,0.1545
751,0.9683,-0.1133,0.0686
752,1.0027,0.0835,0.0193
753,0.9246,-0.0449,0.0205
754,1.0056,-0.0818,-0.0649
755,1.0435,0.1572,-0.1272
756,0.9976,-0.0354,0.0737
757,1.0591,-0.0784,0.0483
758,0.9460,0.1057,0.0344
759,0.9861,-0.2346,0.1335
760,1.1238,0.1013,-0.0564
761,1.0249,0.0139,-0.0396
762,0.9878,-0.0806,0.0791
763,1.0789,0.1206,0.0024
764,0.8843,-0.0735,-0.0461
765,1.0503,-0.0037,0.0234
766,0.9985,0.0920,0.0339
767,0.9155,-0.1704,0.0181
768,1.0229,0.1033,0.0291
769,0.9402,-0.0530,-0.0610
770,1.0359,-0.0664,0.0327
771,1.0466,0.1079,-0.0901
